file,num,unique
RS_2016-09.zst,7437862
RS_2016-10.zst,8286759
RS_2016-11.zst,8660144
RS_2016-12.zst,8921474
RS_2017-01.zst,9218513
RS_2017-02.zst,8588120
RS_2017-03.zst,9616340
RS_2017-04.zst,9211051
RS_2017-05.zst,9498553
RS_2017-06.zst,9597725
RS_2017-07.zst,9989122
RS_2017-08.zst,10424133
RS_2017-09.zst,9787604
RS_2017-10.zst,10281718
RS_2017-11.zst,10377379
RS_2017-12.zst,10567492
RS_2018-01.zst,11306843
RS_2018-02.zst,10567231
RS_2018-03.zst,12022694
RS_2018-04.zst,11997150
RS_2018-05.zst,12079652
RS_2018-06.zst,11904498
RS_2018-07.zst,13305762
RS_2018-08.zst,13408255
RS_2018-09.zst,13107215
RS_2018-10.zst,13975028
RS_2018-11.zst,13862155
RS_2018-12.zst,14894452
RS_2019-01.zst,16445391
RS_2019-02.zst,15743620
RS_2019-03.zst,18412519
RS_2019-04.zst,18310157
RS_2019-05.zst,19456493
RS_2019-06.zst,19731676
RS_2019-07.zst,20768578
RS_2019-08.zst,21927461
RS_2019-09.zst,20713273
RS_2019-10.zst,21695713
RS_2019-11.zst,21243315
RS_2019-12.zst,21217847
RS_2020-01.zst,21989643
RS_2020-02.zst,22242008
RS_2020-03.zst,26577226
RS_2020-04.zst,28501627
RS_2020-05.zst,28297185
RS_2020-06.zst,27557757
RS_2020-07.zst,28436736
RS_2020-08.zst,28883496
RS_2020-09.zst,27814712
RS_2020-10.zst,28659441
RS_2020-11.zst,28002626
RS_2020-12.zst,29695450
RS_2021-01.zst,32704571
RS_2021-02.zst,31147947
RS_2021-03.zst,33006103
RS_2021-04.zst,31616206
RS_2021-05.zst,36310673
RS_2021-06.zst,34118481
