FILENAME COMPRESSED_SIZE NUMBER_OF_OBJECTS UNCOMPRESSED_SIZE SHA1_HASH
RS_2011-07.zst 180490212 1264991 1600156061 3def8e1e6ad7c8370a60e01b882ea9f4e0583c46f6de7341a9a9445d04519d2c
RS_2011-08.zst 209622064 1448347 1855822299 3fd947ca20ac41df8ba59c4bb9eb03e54633f98a44a6cef50e07940554862d3a
RS_2011-09.zst 214126359 1482575 1893592471 de95fdd679215effc4816f0aac243752f0feac3443791266d2c695abbbb1790a
RS_2011-10.zst 237965612 1590673 2107640011 4c7f38b5752ae6d9d829671ba8216a9d9a63900f5815b3b24806039cc6480ba4
RS_2011-11.zst 246897028 1634431 2122580979 ff0d664410b0e4aba77f0e080505d63d14276fce217c82707506a32f3518ff2f
RS_2011-12.zst 264265411 1772219 2248151037 1d34654f88ba1ccd2aefbc367541c1060040b9cd94830c4ddbcdca22a8edbbc5
RS_2012-01.zst 299292677 1981577 2528355246 de9c3f17bc696702fb67b99a9b5ca3e5bd3d7a8cfbaa2e7b118a586a00755db5
RS_2012-02.zst 302444843 1961817 2524366637 5f54abb2250180a4822747bd8a24e94d13381b9603819cf0ea30f3794c5a9415
RS_2012-03.zst 330435518 2158965 2749090588 162683610ea86a53932bcbe7f6ac5265fe62fca9c14608b5519408b779623886
RS_2012-04.zst 350117117 2279491 2909558995 6d0bce3ae9c10bd20d8d16b3078e3a17e0603a44eba1cd36ce4ab4d5d19c9b14
RS_2012-05.zst 365477187 2293901 3178694367 98247cd38ca56b7a56d59561fd801ab2fce2e56c13fc23cb1df6570acd6ce683
RS_2012-06.zst 382861465 2393973 3238796304 760130e2f75250f0f24079d63036c2d3ee956570599debf5336823e61059af9c
RS_2012-07.zst 422101267 2663529 3487514017 c2b601dfc5a90f978dc5067c100ef9d68e8e210f4a2b42a21599c2ea0400a86a
RS_2012-08.zst 446070905 2782752 3673990942 828186e6fa459aaf13a071fbc1130162823d8cbe2c9d23be947ad78f90591b3f
RS_2012-09.zst 440335515 2568109 3447754736 aa97212341c18710c1e551c67b642f742e338c2ba5fb090c8896c004e81d5ee6
RS_2012-10.zst 467945225 2776156 3682239765 ab66781a270236f6c15ece9bf02e39929a80e0da2608b188ce06269ca17946df
RS_2012-11.zst 463025195 2706118 3645396731 aa8d3eb6dbc28ec2831a61dbfe939dadd8a1aa5eb488623240ade5e807a4a00a
RS_2012-12.zst 465544475 2735743 3663955377 8525cc9341c3e864151461d0778de0bda83e428ee29ab94dce6fc7da741dbe5f
RS_2013-01.zst 548053284 3134862 4242871615 25f4b15214c2b6e2b64c8638cf4d3cde5287ef5e66f982c09167107600c6b4b6
RS_2013-02.zst 500010070 2886631 3903932045 82cdd407fd13ea0b825ef0722983fe0d3535b97e753b1700e7ba78e23edcdcc5
RS_2013-03.zst 560773875 3201525 4373332201 64d571ac9c70a086cd45333a2e5d9e0598c83f93a81e1367d0b1e2c856218647
RS_2013-04.zst 590398173 3376188 4589111719 529498dfd180eb2d99baeadbb6cd597c20dc08311fdd087e7a78d5d836a2a9f0
RS_2013-05.zst 578626570 3261976 4509759435 b0f489340b4b36c6b08821c9dc03af9a330e72569b9f1ab845a68207773af068
RS_2013-06.zst 577426173 3189490 4490909843 d3a423fc0eaee5ddc3b203ef03831cccc37785bbf6dc80e1aeb8514f68254b18
RS_2013-07.zst 619406767 3374406 4783625200 a654c2a089ee7808396b6df2b735ceb28e455a75118f2c69052a62ebbc8a65d1
RS_2013-08.zst 615047931 3315090 4754436759 02cf3e32167dafd8cc1970df36586848f0a4ebe1a311ecef7a7afc684fb49e55
RS_2013-09.zst 588873920 3121163 4722337054 20fc77526498230e1f552088153e6a495ba7f675692f7aeacf84e30676fc6e01
RS_2013-10.zst 650252980 3467225 5272262818 69f1105e684d46dea88ec75237a6b5559d0cf136e61409090dba62a4ba779bb1
RS_2013-11.zst 673525241 3522378 5468589635 4abf1e316492414ff34fa107bfd1b9287b2a1b9183860b96769cdc9dc59d1879
RS_2013-12.zst 721147797 3801410 5971120617 960ff217db8b13e6d6f63ff2f2f7b851fdd822cbed3ecbaecd01b28de448adfe
RS_2014-01.zst 773274969 4145541 5903857333 3988fa6512e38463e58f7f8af0d102687f7a6de58be09f8351681c5fea5d750d
